ComptaID,Date,Portefeuille,PortefeuilleID,Fonctionnement,FonctionnementID,Num_Commande,Montant,Vérifié,Date paiement,Relevé,Etat,Categorie,CategorieID,Tiers,TiersID,Notes,Projet,ProjetID
2025-08-26-0-004,26/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-11669848154230987,"1,28 €",Oui,27/08/2025,05/09/2025,Réglé,Quotidien / Mode / Vêtements & accessoires à theme,C.D-QUO.MO.05,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-08-26-0-003,26/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-11669848154230987,"13,42 €",Oui,27/08/2025,05/09/2025,Réglé,Logement / Ameublement & Entretien / Décoration,C.D-LOG.AM.03,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-08-26-0-002,26/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"49,98 €",Oui,29/08/2025,05/09/2025,Réglé,Quotidien / Consommation / High-Tech,C.D-QUO.CO.05,Intersport - Site Internet,T#TT-COM-NU-INT#250827#INTERSPORT__SIT,Montre - Traceur activité,Sport,P#2025SPORT_____
2025-08-26-0-000,26/08/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"9,00 €",N/A,,,Réglé,Quotidien / Transport / Transport en commun,,Imagine - Transport en Commun - Epinal,T#TT-MOB-IN-TRA#250827#IMAGINE__TRANSP,,Loc Epinal,P#2025LOC_EPINAL
2025-08-29-0-001,29/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"48,60 €",Oui,29/08/2025,05/09/2025,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Monoprix Epinal,T#TT-COM-DI-SUP#250821#MONOPRIX_EPINAL,,,
2025-08-31-0-001,31/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"115,20 €",Oui,01/09/2025,05/09/2025,Réglé,Quotidien / Consommation / Courses,C.D-QUO.CO.03,Intermarché - Golbey / Epinal,T#TT-COM-DI-SUP#250723#INTERMARCH__GOL,,,
2025-09-01-0-002,01/09/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"1,00 €",Oui,01/09/2025,05/09/2025,Réglé,Quotidien / Transport / Transport en commun,C.D-QUO.TR.07,Vilvolt,T#TT-MOB-IN-TRA#250901#VILVOLT______,,,
2025-09-01-0-001,01/09/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"9,90 €",N/A,,,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,Poulaillon - Boulangerie - epinal,T#TT-COM-RE-BOU#250902#POULAILLON__BOU,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-02-0-001,02/09/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"9,00 €",N/A,,,Réglé,Quotidien / Repas / Repas Midi,C.D-QUO.RE.01,La Boulange Dorée - epinal,T#TT-COM-RE-BOU#250902#LA_BOULANGE_DOR,,Prise de poste VDE,P#2025PRISE_DE_P
2025-09-03-0-002,03/09/2025,Espèce,PTF#ES#ESPE#ESP,Dépense & Revenu,FCT.MV-DR,,"2,60 €",N/A,,,Réglé,Quotidien / Consommation / Courses,,La mie caline,T#TT-COM-RE-BOU#250823#LA_MIE_CALINE__,,Prise de poste VDE,P#2025PRISE_DE_P
